time,S,I,R
63.5,3.8508912447820154e-10,1.749410010795555,998.2505899888191
64.0,3.2043502382928724e-10,1.6640916895867792,998.3359083100926
64.5,2.637398881988277e-10,1.5829378494840156,998.417062150252
65.0,2.0867724612595996e-10,1.5057437253582124,998.4942562744329
65.5,1.5499286093455548e-10,1.4323142281797407,998.5676857716651
66.0,1.0850473073436033e-10,1.3624639450183755,998.6375360548728
66.5,8.092695835205651e-11,1.2960171076186118,998.7039828923001
67.0,6.700708606812755e-11,1.2328054528109453,998.7671945471218
67.5,5.617604125551729e-11,1.1726735573427167,998.8273264426008
68.0,4.772335475123635e-11,1.1154748228757023,998.8845251770763
68.5,4.104624137305947e-11,1.0610682720913276,998.9389317278674
69.0,3.564959991952383e-11,1.0093185486906666,998.9906814512734
69.5,3.1146013169931593e-11,0.9600959173944411,999.0399040825741
70.0,2.7255747884347345e-11,0.9132762639430233,999.0867237360294
70.5,2.380675480360092e-11,0.8687410950964314,999.1312589048795
71.0,2.0734668649283957e-11,0.8263775386343352,999.1736224613446
71.5,1.8082808123754013e-11,0.7860783433560489,999.2139216566256
72.0,1.5996417074217972e-11,0.7477418250469039,999.2522581749369
72.5,1.4338214671276291e-11,0.7112700389619545,999.2887299610235
73.0,1.2925336501551483e-11,0.6765739046499718,999.3234260953369
73.5,1.171913111452555e-11,0.6435697611972416,999.3564302387908
74.0,1.0685168333608791e-11,0.6121769939621098,999.387823006027
74.5,9.793239256139785e-12,0.5823180345749821,999.417681965415
75.0,9.017356253385405e-12,0.5539183609383241,999.4460816390524
75.5,8.335752970540836e-12,0.5269064972266599,999.4730935027648
76.0,7.730884326729489e-12,0.5012140138865759,999.4987859861054
76.5,7.189426515003178e-12,0.47677552763671455,999.5232244723559
77.0,6.702277002341826e-12,0.45352870146778385,999.5464712985253
77.5,6.2645545296539154e-12,0.43141424464254297,999.5685857553509
78.0,5.875599111775885e-12,0.41037591269582113,999.589624087298
78.5,5.532823848079422e-12,0.390360107054173,999.6096398929401
79.0,5.225321518286896e-12,0.3713174888590627,999.6286825111355
79.5,4.949005602767638e-12,0.35320269106626806,999.6467973089285
80.0,4.700290987112001e-12,0.3359719573173179,999.6640280426777
80.5,4.475907131615638e-12,0.3195831107635961,999.6804168892317
81.0,4.272898071279508e-12,0.303995554066341,999.6960044459291
81.5,4.088622415809868e-12,0.28917026939664625,999.710829730599
