N,AvgCrashTime,AvgQueue,Load,TheoryTime
5,2000.0,0.017191977077363897,0.6217765042979942,0.004166666666666666
10,2000.0,0.6141479099678456,0.32556270096463025,0.002040816326530612
15,2000.0,2.98970398970399,0.06756756756756757,0.0013513513513513512
