t,S,E,I,R,D
0.0,980,10,10,0,0
0.006725558218122726,980,9,11,0,0
0.11306770502825005,979,10,11,0,0
0.2508681691736905,978,11,11,0,0
0.3156264415383279,977,12,11,0,0
0.36094782639229206,977,11,12,0,0
0.4187381648895242,977,11,11,1,0
0.4495479569725779,977,10,12,1,0
0.45704075115651627,977,10,11,2,0
0.6230970211855862,976,11,11,2,0
0.6416046768581221,975,12,11,2,0
0.6591811230519098,974,13,11,2,0
0.6975081083448221,974,12,12,2,0
0.8150602878861383,973,13,12,2,0
0.9046797750443478,973,12,13,2,0
0.9136460307932821,973,12,12,3,0
0.9279380782793716,973,12,11,4,0
0.9571218131394452,973,11,12,4,0
1.0101247497917778,972,12,12,4,0
1.1098209128515013,972,11,13,4,0
1.1906782560211622,971,12,13,4,0
1.2800719506854963,971,11,14,4,0
1.2933108776541087,970,12,14,4,0
1.3082779501442605,970,12,13,5,0
1.3384662211810552,970,11,14,5,0
1.391229308730794,969,12,14,5,0
1.4148853868534845,969,11,15,5,0
1.5159751523598952,968,12,15,5,0
1.5395924870167788,967,13,15,5,0
1.7162183305560266,967,13,14,6,0
1.7565692393945969,967,12,15,6,0
1.792787930484298,966,13,15,6,0
1.9463439793690267,966,12,16,6,0
1.984904831926754,966,11,17,6,0
2.035766729452705,966,10,18,6,0
2.0962824002953844,965,11,18,6,0
2.201515823864909,965,11,17,7,0
2.202958612004224,964,12,17,7,0
2.2295385918499115,963,13,17,7,0
2.324445558772434,963,13,16,8,0
2.3762694088065324,963,13,15,9,0
2.5665500293605206,963,13,14,10,0
2.6689470251278578,962,14,14,10,0
2.6694318553699867,961,15,14,10,0
2.682819944926318,961,15,13,11,0
2.686160289236048,961,15,12,12,0
2.6876567855970994,961,14,13,12,0
2.7252080603466355,960,15,13,12,0
2.842338854069445,960,14,14,12,0
2.86185764636131,960,13,15,12,0
2.864006715604135,960,13,14,13,0
2.8647983398257946,960,13,13,14,0
3.011458124071464,959,14,13,14,0
3.076983434688252,959,14,12,15,0
3.0787476110995735,958,15,12,15,0
3.129087047772221,958,14,13,15,0
3.182308984682658,958,13,14,15,0
3.240551927650732,957,14,14,15,0
3.259239571741394,957,14,13,16,0
3.2873204261566973,957,14,12,17,0
3.333662444657909,956,15,12,17,0
3.3399189107515124,956,14,13,17,0
3.4097861938868985,956,14,12,18,0
3.608077755944503,956,13,13,18,0
3.6239465480668573,955,14,13,18,0
3.6607293497283178,955,14,12,19,0
3.7038130126192015,954,15,12,19,0
3.7083542772251734,953,16,12,19,0
3.716811828726655,952,17,12,19,0
3.7790995847821187,951,18,12,19,0
3.7949206061739447,951,17,13,19,0
4.0158344356519935,951,16,14,19,0
4.032097665163437,951,16,13,20,0
4.119928833260289,950,17,13,20,0
4.185212649960395,950,17,12,21,0
4.185637738465789,949,18,12,21,0
4.258138143811176,949,17,13,21,0
4.420863909336551,949,16,14,21,0
4.455477714927305,949,15,15,21,0
4.57084908081634,948,16,15,21,0
4.635352661003013,947,17,15,21,0
4.663896268906105,947,16,16,21,0
4.667177331037088,946,17,16,21,0
4.668026503604976,946,16,17,21,0
4.673182171363226,946,15,18,21,0
4.710725043184657,945,16,18,21,0
4.726289640375349,945,15,19,21,0
4.821108121918664,945,15,18,22,0
4.862721998180546,944,16,18,22,0
