t,S,E,I,R,D
3.873408055371903,941,19,20,20,0
3.928946297265711,941,19,19,21,0
3.9784805674245822,941,19,18,22,0
3.987111134958938,941,18,19,22,0
4.0584183970266245,940,19,19,22,0
4.124111538732355,940,18,20,22,0
4.138507529519465,939,19,20,22,0
4.218593487888039,939,18,21,22,0
4.23587998188604,939,18,20,23,0
4.289796900867734,938,19,20,23,0
4.353908272115371,938,19,19,24,0
4.359459142384241,937,20,19,24,0
4.438950717030285,936,21,19,24,0
4.58521204778194,936,20,20,24,0
4.597700829432481,935,21,20,24,0
4.651749779707093,934,22,20,24,0
4.669370166309682,933,23,20,24,0
4.678600608068104,933,22,21,24,0
4.688476467761762,933,22,20,25,0
4.7071996766698945,933,21,21,25,0
4.732507091940829,933,21,20,26,0
4.746644166188177,932,22,20,26,0
4.789272086438038,932,22,19,27,0
4.816787708896074,931,23,19,27,0
4.821108121918664,931,23,18,28,0
4.871569287801464,930,24,18,28,0
4.884763715821736,930,23,19,28,0
4.898275551611646,929,24,19,28,0
4.922458824027789,928,25,19,28,0
4.927410774299333,927,26,19,28,0
4.956338203892567,927,26,18,29,0
5.003275213990109,927,25,19,29,0
5.092371113955283,927,24,20,29,0
5.1498510571960985,927,23,21,29,0
5.206094654719938,927,23,20,30,0
5.25786358582718,926,24,20,30,0
5.271182645034713,926,23,21,30,0
5.2820972458058,925,24,21,30,0
5.29994901035474,925,24,20,31,0
5.315679115532133,924,25,20,31,0
5.325476169025463,924,24,21,31,0
5.352779155876499,923,25,21,31,0
5.361129641383553,923,24,22,31,0
5.366106493059076,922,25,22,31,0
5.398010953247986,922,24,23,31,0
5.486144019911519,922,23,24,31,0
5.499562537012548,922,22,25,31,0
5.5113531905066635,921,23,25,31,0
5.515121063766294,921,23,24,32,0
5.5155227472735415,921,22,25,32,0
5.554179219053892,921,21,26,32,0
5.582308849479659,921,21,25,33,0
5.587386772845157,921,20,26,33,0
5.625239774308729,920,21,26,33,0
5.65999183497624,919,22,26,33,0
5.669610954416354,918,23,26,33,0
5.696898884041613,918,22,27,33,0
5.710317408515168,917,23,27,33,0
5.718620894055356,916,24,27,33,0
5.748520383965363,915,25,27,33,0
5.77597916679006,915,24,28,33,0
5.790492811248469,915,24,27,34,0
5.79297011118505,915,23,28,34,0
5.803046315657809,914,24,28,34,0
5.817562125381424,914,23,29,34,0
5.8188309034032235,914,22,30,34,0
5.826281089266708,913,23,30,34,0
5.88914189057023,913,23,29,35,0
5.916507232335435,912,24,29,35,0
5.957372160688723,912,24,28,36,0
5.978978214179396,912,23,29,36,0
5.996806796828905,911,24,29,36,0
6.018790567794649,910,25,29,36,0
6.034836765212432,910,25,28,37,0
6.039970350233715,910,25,27,38,0
6.056691637547402,910,24,28,38,0
6.100853055466024,910,23,29,38,0
6.118624488613393,909,24,29,38,0
6.121134304854532,908,25,29,38,0
6.130524651520576,908,24,30,38,0
6.142125015348045,907,25,30,38,0
6.173371136118261,906,26,30,38,0
6.221527249549882,905,27,30,38,0
6.2572961195289984,905,26,31,38,0
6.2795886958696725,904,27,31,38,0
6.303647654120459,903,28,31,38,0
6.3160654614920535,903,27,32,38,0
6.329755299137747,902,28,32,38,0
6.337852499965117,901,29,32,38,0
6.34273516290884,900,30,32,38,0
6.408768647713456,899,31,32,38,0
6.413588298987108,898,32,32,38,0
6.449896773193218,898,32,31,39,0
6.476095490506193,897,33,31,39,0
6.552732272421672,897,32,32,39,0
6.5673563986469725,896,33,32,39,0
6.58720238885144,896,33,31,40,0
6.59228261597613,895,34,31,40,0
6.618443040776041,894,35,31,40,0
6.632028026396865,894,34,32,40,0
6.666791679003668,893,35,32,40,0
6.671124087849899,893,34,33,40,0
6.678751906128283,892,35,33,40,0
6.705695317001457,891,36,33,40,0
6.7181588993498496,890,37,33,40,0
6.7545243606750205,889,38,33,40,0
6.790958708256698,888,39,33,40,0
6.813576150985262,887,40,33,40,0
6.8230663472148345,886,41,33,40,0
6.834644963131729,885,42,33,40,0
6.8536210385622685,884,43,33,40,0
6.881502612294588,883,44,33,40,0
6.8849309194788235,883,43,34,40,0
6.887551022329227,882,44,34,40,0
6.897897314337135,882,43,35,40,0
6.926958226459973,881,44,35,40,0
6.935265064933395,880,45,35,40,0
6.948739888824477,880,44,36,40,0
6.959779788932153,880,44,35,41,0
6.972330949715535,879,45,35,41,0
6.987380032155254,879,44,36,41,0
7.006770897968137,879,44,35,42,0
7.012315078413436,879,44,34,43,0
7.016971891505813,879,43,35,43,0
7.0339279056982384,878,44,35,43,0
7.037159069444776,878,43,36,43,0
7.044604327591109,878,42,37,43,0
7.062191236209483,877,43,37,43,0
