t,S,E,I,R,D
0.0,980,10,10,0,0
0.006725558218122726,980,9,11,0,0
0.11306770502825005,979,10,11,0,0
0.36094782639229206,979,9,12,0,0
0.4187381648895242,979,9,11,1,0
0.4495479569725779,979,8,12,1,0
0.45704075115651627,979,8,11,2,0
0.6220089469986576,978,9,11,2,0
0.6412631455516841,977,10,11,2,0
0.6585960468455714,976,11,11,2,0
0.81296375083695,975,12,11,2,0
0.9040946988380094,975,11,12,2,0
0.9136460307932821,975,11,11,3,0
0.955025276090257,975,10,12,3,0
1.1098209128515013,975,9,13,3,0
1.1879146754437275,974,10,13,3,0
1.2800719506854963,974,9,14,3,0
1.2929292771916499,973,10,14,3,0
1.3082779501442605,973,10,13,4,0
1.3373781469941268,973,9,14,4,0
1.4145438555470466,973,8,15,4,0
1.6324949137584703,972,9,15,4,0
1.7131790922365142,972,9,14,5,0
1.7162183305560266,972,9,13,6,0
1.7538056588171622,972,8,14,6,0
1.9463439793690267,972,7,15,6,0
2.0353851289902467,972,6,16,6,0
2.0847572408598545,971,7,16,6,0
2.201515823864909,971,7,15,7,0
2.229414012416812,970,8,15,7,0
2.341711236031805,970,7,16,7,0
2.405549040857214,970,7,15,8,0
2.5665500293605206,970,7,14,9,0
2.623386090271775,970,7,13,10,0
2.686160289236048,970,7,12,11,0
2.86185764636131,970,6,13,11,0
2.988062149988597,970,5,14,11,0
3.076983434688252,970,5,13,12,0
3.1175618883366907,970,4,14,12,0
3.2472256068403267,970,4,13,13,0
3.259239571741394,970,4,12,14,0
3.3094861732613237,969,5,12,14,0
3.7949206061739447,969,4,13,14,0
3.7959209210672578,968,5,13,14,0
3.913047700194608,967,6,13,14,0
4.006736895965812,966,7,13,14,0
4.0347538930708,965,8,13,14,0
4.08380984292301,964,9,13,14,0
4.236363971294151,964,8,14,14,0
4.384744918999272,964,7,15,14,0
4.397958777503333,964,7,14,15,0
4.592012414526355,963,8,14,15,0
4.629841924886567,963,7,15,15,0
4.702113368978763,963,6,16,15,0
4.815657509728736,962,7,16,15,0
4.821108121918664,962,7,15,16,0
5.086000082497707,962,7,14,17,0
5.119819081039234,961,8,14,17,0
5.154890414362036,961,7,15,17,0
5.174452686506337,961,7,14,18,0
5.198404078869607,960,8,14,18,0
5.326413653118589,960,8,13,19,0
5.374139852552814,960,8,12,20,0
5.457074088954973,959,9,12,20,0
5.499562537012548,959,8,13,20,0
5.587386772845157,959,7,14,20,0
5.5907260659621665,958,8,14,20,0
5.689785382163641,958,8,13,21,0
5.696898884041613,958,7,14,21,0
5.700287088718898,958,6,15,21,0
5.7103335518282785,958,5,16,21,0
5.731500850869448,957,6,16,21,0
5.806204837645838,956,7,16,21,0
5.861963920387179,956,7,15,22,0
5.8803300400902625,956,7,14,23,0
5.902070905920228,956,6,15,23,0
5.951711561507016,955,7,15,23,0
5.952148802618128,954,8,15,23,0
6.151688057510929,953,9,15,23,0
6.169547223232455,953,8,16,23,0
6.427104481505539,952,9,16,23,0
6.588817377649988,951,10,16,23,0
6.636244851979313,951,10,15,24,0
6.765638381136714,951,10,14,25,0
6.854772668459724,951,9,15,25,0
6.865443137811554,950,10,15,25,0
6.8751300370134185,950,9,16,25,0
6.885199472835247,950,8,17,25,0
6.886964050694647,949,9,17,25,0
6.9639493165782715,948,10,17,25,0
